EXP,Participant ID,Object,Emotion Felt,Intensity,Familiarity,Comfort During Grasping,Would React Same Way Again
,ID18,Plush,Surprise,Moderate,Somewhat familiar,Neutral,No
,ID18,Spider,Neutral,Low,Not familiar at all,Uncomfortable,No
,ID18,Cube,Nervousness,Moderate,Not familiar at all,Comfortable,Maybe
,ID19,Dog Toy,Happiness,High,Very familiar,Uncomfortable,No
,ID19,Donut,Disgust,High,Somewhat familiar,Very uncomfortable,No
,ID19,Plush,Surprise,High,Very familiar,Comfortable,Maybe
,ID19,Spider,Nervousness,Moderate,Very familiar,Uncomfortable,Yes
,ID19,Cube,Neutral,Low,Very familiar,Neutral,Yes
,ID20,Dog Toy,Neutral,Low,Very familiar,Very comfortable,Yes
,ID20,Donut,Disgust,Moderate,Very familiar,Uncomfortable,Maybe
,ID20,Plush,Happiness,High,Very familiar,Very comfortable,Yes
,ID20,Spider,Boredom,High,Not familiar at all,Uncomfortable,Maybe
,ID20,Cube,Neutral,Low,Not familiar at all,Very comfortable,Yes
